quarter,day,team,targeted_productivity,standard_minute_value,work_in_progress,over_time,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
Quarter2,Thursday,11,0.21 - 0.36,2.90 - 13.23,7 - 4630,20736 - 25920,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter4,Saturday,8,0.21 - 0.36,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter2,Wednesday,11,0.21 - 0.36,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter4,Monday,11,0.21 - 0.36,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter2,Tuesday,10,0.21 - 0.36,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,Monday,12,0.21 - 0.36,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.23 - 0.38
Quarter2,Thursday,3,0.21 - 0.36,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter2,Monday,7,0.21 - 0.36,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter2,Monday,8,0.21 - 0.36,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter2,Monday,4,0.21 - 0.36,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter1,Wednesday,4,0.21 - 0.36,23.56 - 33.90,7 - 4630,5184 - 10368,120 - 180,9 - 18,0,54.2 - 71.6,0.23 - 0.38
Quarter2,Sunday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,Monday,10,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter2,Sunday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,Tuesday,2,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter1,Saturday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,240 - 300,36 - 45,0,54.2 - 71.6,0.23 - 0.38
Quarter1,Thursday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,36 - 45,0,54.2 - 71.6,0.23 - 0.38
Quarter4,Tuesday,11,0.36 - 0.50,44.22 - 54.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter4,Thursday,1,0.21 - 0.36,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,2,54.2 - 71.6,0.23 - 0.38
Quarter2,Saturday,5,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter5,Saturday,7,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,Tuesday,8,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter4,Sunday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,18 - 27,1,54.2 - 71.6,0.38 - 0.54
Quarter3,Tuesday,7,0.21 - 0.36,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter3,Sunday,1,0.65 - 0.80,44.22 - 54.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,Wednesday,2,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter1,Saturday,5,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter1,Sunday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,Wednesday,11,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,Tuesday,5,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,Monday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter3,Sunday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,Wednesday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,Wednesday,6,0.21 - 0.36,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.38 - 0.54
Quarter2,Thursday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.38 - 0.54
Quarter4,Thursday,5,0.21 - 0.36,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter3,Saturday,5,0.65 - 0.80,33.89 - 44.23,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,Sunday,5,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,Sunday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter2,Thursday,8,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter1,Sunday,8,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,Wednesday,8,0.65 - 0.80,33.89 - 44.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.38 - 0.54
Quarter4,Tuesday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter2,Sunday,4,0.65 - 0.80,44.22 - 54.56,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter3,Sunday,3,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter5,Thursday,7,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,Thursday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,2,54.2 - 71.6,0.38 - 0.54
Quarter1,Thursday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,Thursday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,Wednesday,10,0.36 - 0.50,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter3,Thursday,2,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter3,Thursday,11,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,Sunday,5,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter4,Tuesday,5,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,Sunday,8,0.36 - 0.50,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,36.8 - 54.2,0.38 - 0.54
Quarter5,Thursday,6,0.36 - 0.50,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.38 - 0.54
Quarter2,Thursday,11,0.36 - 0.50,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,2,54.2 - 71.6,0.38 - 0.54
Quarter3,Wednesday,7,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,Saturday,4,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,2,54.2 - 71.6,0.38 - 0.54
Quarter3,Tuesday,12,0.36 - 0.50,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.38 - 0.54
Quarter2,Tuesday,4,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,Saturday,6,0.36 - 0.50,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter4,Thursday,9,0.36 - 0.50,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter4,Wednesday,11,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.38 - 0.54
Quarter2,Monday,7,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter1,Thursday,4,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter1,Monday,5,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,Tuesday,7,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter2,Saturday,3,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter2,Wednesday,11,0.21 - 0.36,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,1,36.8 - 54.2,0.38 - 0.54
Quarter3,Wednesday,9,0.65 - 0.80,44.22 - 54.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,Thursday,4,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter1,Thursday,7,0.07 - 0.21,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,Tuesday,5,0.65 - 0.80,13.23 - 23.56,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.38 - 0.54
Quarter2,Thursday,7,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter2,Wednesday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.38 - 0.54
Quarter1,Tuesday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter1,Saturday,5,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Monday,1,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter4,Saturday,1,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,2,54.2 - 71.6,0.54 - 0.69
Quarter4,Saturday,5,0.36 - 0.50,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter4,Thursday,8,0.65 - 0.80,33.89 - 44.23,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter2,Saturday,6,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.54 - 0.69
Quarter1,Thursday,5,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Monday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,2,36.8 - 54.2,0.54 - 0.69
Quarter2,Sunday,4,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter3,Monday,7,0.65 - 0.80,44.22 - 54.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter1,Sunday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,9 - 18,0,54.2 - 71.6,0.54 - 0.69
Quarter4,Wednesday,1,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,1,36.8 - 54.2,0.54 - 0.69
Quarter2,Tuesday,11,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.54 - 0.69
Quarter3,Thursday,2,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter1,Tuesday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter4,Sunday,11,0.65 - 0.80,33.89 - 44.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Sunday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter4,Wednesday,5,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter1,Monday,5,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter2,Monday,5,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter3,Sunday,5,0.50 - 0.65,13.23 - 23.56,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter2,Wednesday,7,0.50 - 0.65,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter1,Thursday,2,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,1,36.8 - 54.2,0.54 - 0.69
Quarter4,Saturday,9,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter4,Monday,8,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,36.8 - 54.2,0.54 - 0.69
Quarter3,Wednesday,12,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.54 - 0.69
Quarter1,Saturday,4,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter2,Sunday,11,0.50 - 0.65,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.54 - 0.69
Quarter1,Sunday,4,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Saturday,11,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Thursday,10,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Saturday,3,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter2,Wednesday,4,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter4,Thursday,7,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter4,Thursday,12,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.54 - 0.69
Quarter2,Saturday,11,0.50 - 0.65,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,2,54.2 - 71.6,0.54 - 0.69
Quarter2,Sunday,8,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter5,Thursday,11,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,36.8 - 54.2,0.54 - 0.69
Quarter5,Saturday,6,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.54 - 0.69
Quarter3,Tuesday,8,0.50 - 0.65,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,27 - 36,2,54.2 - 71.6,0.54 - 0.69
Quarter2,Sunday,6,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,1,36.8 - 54.2,0.54 - 0.69
Quarter4,Monday,9,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.54 - 0.69
Quarter2,Saturday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter1,Sunday,5,0.65 - 0.80,44.22 - 54.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Thursday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,18 - 27,1,54.2 - 71.6,0.54 - 0.69
Quarter2,Monday,6,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.54 - 0.69
Quarter3,Monday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,9 - 18,2,54.2 - 71.6,0.54 - 0.69
Quarter4,Tuesday,6,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.54 - 0.69
Quarter4,Sunday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,2,54.2 - 71.6,0.54 - 0.69
Quarter4,Sunday,9,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter2,Tuesday,7,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter2,Thursday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter3,Thursday,9,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.54 - 0.69
Quarter2,Monday,11,0.50 - 0.65,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.54 - 0.69
Quarter1,Tuesday,5,0.50 - 0.65,13.23 - 23.56,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter2,Monday,5,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter2,Tuesday,5,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter3,Monday,5,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Thursday,4,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Tuesday,9,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.54 - 0.69
Quarter5,Saturday,11,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.54 - 0.69
Quarter3,Saturday,10,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.54 - 0.69
Quarter3,Sunday,11,0.50 - 0.65,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,2,36.8 - 54.2,0.54 - 0.69
Quarter1,Saturday,2,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,1,36.8 - 54.2,0.54 - 0.69
Quarter3,Sunday,2,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Sunday,11,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter4,Tuesday,8,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,36.8 - 54.2,0.54 - 0.69
Quarter4,Sunday,9,0.50 - 0.65,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter4,Saturday,7,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter3,Sunday,3,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.54 - 0.69
Quarter2,Monday,8,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter2,Wednesday,7,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.54 - 0.69
Quarter1,Wednesday,5,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,60 - 120,9 - 18,0,54.2 - 71.6,0.54 - 0.69
Quarter2,Monday,6,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,1,36.8 - 54.2,0.54 - 0.69
