targeted_productivity,standard_minute_value,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
0.8,25.9,10170,60,0,0,0,56.5,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,4.15,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,28.08,10440,63,0,0,0,58,yes
0.8,28.08,10350,63,0,0,0,57.5,yes
0.8,11.61,4710,50,0,0,0,31.5,yes
0.8,11.41,5490,50,0,0,0,30.5,yes
0.8,26.16,10620,63,0,0,0,59,yes
0.8,28.08,10530,63,0,0,0,58.5,yes
0.75,19.87,7080,45,0,0,0,56,yes
0.5,12.52,9540,38,0,0,0,53,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.5,20.79,7680,0,0,0,0,56,yes
0.5,4.15,1440,0,0,0,0,8,yes
0.75,4.15,1440,0,0,0,0,8,yes
0.8,3.94,3600,0,0,0,0,20,yes
0.8,26.16,10620,88,0,0,0,59,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,25.9,10170,45,0,0,0,56.5,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,11.41,5490,50,0,0,0,30.5,yes
0.8,11.61,5670,50,0,0,0,31.5,yes
0.8,28.08,10530,63,0,0,0,58.5,yes
0.8,28.08,10530,38,0,0,0,58.5,yes
0.8,19.87,6420,0,0,0,0,55,yes
0.8,4.15,1440,0,0,0,0,8,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.5,4.15,1440,0,0,0,0,8,yes
0.6,12.52,9540,30,0,0,0,53,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,50.48,10440,0,0,0,0,58,yes
0.6,20.79,7980,0,0,0,0,57,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.35,4.3,3240,0,0,0,0,18,yes
0.8,4.15,1800,0,0,0,0,10,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,26.16,8220,75,0,0,0,59,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.65,4.15,1440,0,0,0,0,8,yes
0.8,19.87,9900,0,0,0,0,55,yes
0.8,11.41,5670,50,0,0,0,31.5,yes
0.8,11.61,4470,50,0,0,0,31.5,yes
0.8,28.08,10530,63,0,0,0,58.5,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,50.48,6930,45,0,0,0,58.5,yes
0.65,20.79,8460,0,0,0,0,59,yes
0.65,12.52,9540,44,0,0,0,53,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,4.15,1440,0,0,0,0,8,yes
0.35,22.4,7350,0,0,0,0,51.5,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.35,4.3,2160,0,0,0,0,12,yes
0.8,3.94,1440,0,0,0,0,2,yes
0.8,3.94,5400,0,0,0,0,20,yes
0.8,4.15,1620,0,0,0,0,9,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,25.9,10260,60,0,0,0,57,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
0.65,4.15,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,11.61,5670,50,0,0,0,31.5,yes
0.8,11.61,5670,50,0,0,0,31.5,yes
0.8,28.08,10530,50,0,0,0,58.5,yes
0.8,42.27,9900,54,0,0,0,55,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,4.15,1440,0,0,0,0,8,yes
0.7,27.13,9540,37,0,0,0,53,yes
0.7,20.79,10440,0,0,0,0,58,yes
0.5,22.4,10170,23,0,0,0,56.5,yes
0.35,22.4,10170,23,0,0,0,56.5,yes
0.8,4.15,1980,0,0,0,0,7,yes
0.35,4.3,2700,0,0,0,0,8,yes
0.8,25.9,10170,70,0,0,0,56.5,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.65,4.15,1440,0,0,0,0,15,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,4.15,1440,0,0,0,0,7,yes
0.8,11.61,2970,50,0,0,0,31.5,yes
0.8,11.61,5670,38,0,0,0,31.5,yes
0.8,26.16,10620,63,0,0,0,59,yes
0.7,20.79,7320,0,0,0,0,58,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.6,22.4,5100,23,0,0,0,57,yes
0.5,22.4,3390,23,0,0,0,56.5,yes
0.35,14.61,7200,23,0,0,0,55,yes
0.8,3.94,1260,0,0,0,0,8,yes
0.8,51.02,4260,27,0,0,0,57,yes
0.8,3.94,1260,0,0,0,0,8,yes
0.35,4.3,3600,0,0,0,0,20,yes
0.8,3.94,3420,0,0,0,0,19,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.65,4.15,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,25.9,8970,60,0,0,0,56.5,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
0.8,26.16,10620,63,0,0,0,59,yes
0.8,11.61,4950,38,0,0,0,31.5,yes
0.8,11.61,4950,50,0,0,0,31.5,yes
0.7,20.79,10440,0,0,0,0,58,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.5,22.52,10170,30,0,0,0,56.5,yes
0.65,22.52,10080,26,0,0,0,56,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.6,22.52,10170,23,0,0,0,56.5,yes
0.5,14.89,9900,30,0,0,0,55,yes
0.5,22.94,9810,23,0,0,0,54.5,yes
0.65,4.15,2700,0,0,0,0,15,yes
0.8,3.94,1800,0,0,0,0,10,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,3.94,1800,0,0,0,0,10,yes
0.8,11.41,5490,63,0,0,0,30.5,yes
0.8,11.61,5670,63,0,0,0,31.5,yes
0.8,25.9,10170,50,0,0,0,56.5,yes
0.8,25.9,10170,50,0,0,0,56.5,yes
0.8,48.68,10620,63,0,0,0,59,yes
0.8,26.16,10620,63,0,0,0,59,yes
0.6,22.94,6570,23,0,0,0,56.5,yes
0.7,22.52,10170,50,0,0,0,56.5,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.65,22.52,9720,35,0,0,0,54,yes
0.6,22.52,10170,30,0,0,0,56.5,yes
0.6,14.89,10080,38,0,0,0,56,yes
0.8,2.9,900,0,0,0,0,5,yes
0.7,41.19,10440,21,0,0,0,58,yes
0.8,4.15,1260,0,0,0,0,7,yes
0.6,4.15,1440,0,0,0,0,8,yes
0.65,4.15,2160,0,0,0,0,12,yes
0.8,2.9,1800,0,0,0,0,10,yes
0.8,11.41,5490,63,0,0,0,30.5,yes
0.8,48.84,10170,50,0,0,0,56.5,yes
0.8,25.9,10170,38,0,0,0,56.5,yes
0.8,26.16,3660,50,0,0,0,59,yes
0.7,22.52,10170,50,0,0,0,56.5,yes
0.7,22.52,10080,40,0,0,0,56,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,26.87,5670,56,0,0,0,31.5,yes
0.65,22.52,10170,35,0,0,0,56.5,yes
0.65,14.89,10260,44,0,0,0,57,yes
0.65,22.94,10170,26,0,0,0,56.5,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.6,20.4,10440,30,0,0,0,58,yes
0.8,3.94,1800,0,0,0,0,10,yes
0.8,49.1,10350,24,0,0,0,57.5,yes
0.7,3.94,1440,0,0,0,0,8,yes
0.7,4.3,5040,0,0,0,0,28,yes
0.8,3.94,1800,0,0,0,0,10,yes
0.65,4.15,1440,0,0,0,0,8,yes
0.8,11.41,4380,50,0,0,0,31,yes
0.8,25.9,3630,50,0,0,0,56.5,yes
0.8,26.16,10620,63,0,0,0,59,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.7,22.94,10170,38,0,0,0,56.5,yes
0.7,22.52,10260,63,0,0,0,57,yes
0.7,22.52,10170,50,0,0,0,56.5,yes
0.7,22.52,10080,63,0,0,0,56,yes
0.7,14.89,10260,50,0,0,0,57,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.65,20.4,8280,35,0,0,0,58,yes
0.8,48.84,10260,30,0,0,0,57,yes
0.5,22.94,10170,30,0,0,0,56.5,yes
0.7,3.94,1440,0,0,0,0,8,yes
0.7,4.15,1440,0,0,0,0,8,yes
0.35,15.26,6120,23,0,0,0,34,yes
0.7,4.15,1440,0,0,0,0,8,yes
0.8,11.41,5580,63,0,0,0,31,yes
0.8,25.9,10170,50,0,0,0,56.5,yes
0.8,26.16,10620,63,0,0,0,59,yes
0.7,22.52,10260,63,0,0,0,57,yes
0.7,22.52,10080,63,0,0,0,56,yes
0.7,22.52,8460,50,0,0,0,57,yes
0.7,22.94,10260,50,0,0,0,57,yes
0.8,3.94,1800,0,0,0,0,10,yes
0.7,14.89,10260,50,0,0,0,57,yes
0.7,20.4,10260,50,0,0,0,57,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.5,15.26,3720,23,0,0,0,34,yes
0.35,22.94,10080,30,0,0,0,56,yes
0.7,4.15,2700,0,0,0,0,15,yes
0.75,4.3,6000,0,0,0,0,20,yes
0.7,3.94,5100,0,0,0,0,17,yes
0.75,22.52,10080,94,0,0,0,56,yes
0.8,11.61,5760,75,0,0,0,89,yes
0.8,3.94,2400,0,0,0,0,8,yes
0.8,25.9,7470,38,0,0,0,56.5,yes
0.7,22.94,10500,60,0,0,0,57,yes
0.7,22.52,10080,75,0,0,0,56,yes
0.7,4.15,2400,0,0,0,0,8,yes
0.7,20.4,10440,50,0,0,0,58,yes
0.7,22.52,10260,63,0,0,0,57,yes
0.7,14.89,10260,50,0,0,0,57,yes
0.65,22.94,10260,34,0,0,0,57,yes
0.6,15.26,6360,23,0,0,0,34,yes
0.8,2.9,2400,0,0,0,0,8,yes
0.8,54.56,4140,29,0,0,0,58,yes
0.65,3.94,2400,0,0,0,0,8,yes
0.5,22.52,10080,23,0,0,0,56,yes
0.7,4.15,2700,0,0,0,0,9,yes
0.6,3.94,6000,0,0,0,0,10,yes
0.75,3.94,8400,0,0,0,0,14,yes
0.75,22.52,10080,81,0,0,0,56,yes
0.7,22.94,10620,60,0,0,0,57,yes
0.8,11.61,6360,63,0,0,0,32,yes
0.75,22.52,10080,55,0,0,0,56,yes
0.7,22.94,12180,63,0,0,0,57,yes
0.7,22.52,10260,63,0,0,0,57,yes
0.7,4.15,9000,0,0,0,0,15,yes
0.7,20.4,10440,40,0,0,0,58,yes
0.7,14.89,10260,50,0,0,0,57,yes
0.75,4.3,9000,0,0,0,0,15,yes
0.7,3.94,15000,0,0,0,0,25,yes
0.7,3.94,15000,0,0,0,0,25,yes
0.8,2.9,4800,0,0,0,0,8,yes
0.6,15.26,6960,23,0,0,0,34,yes
0.6,22.52,10260,23,0,0,0,57,yes
0.8,40.99,10770,30,0,0,0,56.5,yes
0.5,29.12,10440,30,0,0,0,58,yes
0.7,3.94,12000,0,0,0,0,20,yes
0.8,2.9,4800,0,0,0,0,8,yes
0.6,4.08,5400,0,0,0,0,9,yes
0.7,4.15,2700,0,0,0,0,15,yes
0.75,3.94,1800,0,0,0,0,10,yes
0.8,2.9,1620,0,0,0,0,9,yes
0.75,22.94,10260,94,0,0,0,57,yes
0.75,22.52,10260,94,0,0,0,57,yes
0.75,4.15,1800,0,0,0,0,10,yes
0.75,3.94,1440,0,0,0,0,8,yes
0.65,3.94,2160,0,0,0,0,12,yes
0.7,4.08,1620,0,0,0,0,9,yes
0.7,22.94,10260,75,0,0,0,57,yes
0.75,22.52,10080,69,0,0,0,56,yes
0.8,11.61,5640,63,0,0,0,32,yes
0.75,22.52,10260,69,0,0,0,57,yes
0.75,15.26,6120,40,0,0,0,34,yes
0.75,42.97,10260,56,0,0,0,57,yes
0.7,20.4,10440,50,0,0,0,58,yes
0.75,4.3,2160,0,0,0,0,12,yes
0.65,22.52,10170,26,0,0,0,56.5,yes
0.6,29.12,6660,23,0,0,0,58,yes
0.75,3.94,1440,0,0,0,0,8,yes
0.7,3.94,1440,0,0,0,0,8,yes
0.35,15.09,9360,23,0,0,0,52,yes
0.6,3.94,1440,0,0,0,0,8,yes
0.7,4.15,3060,0,0,0,0,17,yes
0.75,3.94,1440,0,0,0,0,8,yes
0.7,3.94,1440,0,0,0,0,8,yes
0.75,3.94,1620,0,0,0,0,9,yes
0.75,3.94,3420,0,0,0,0,19,yes
0.75,4.3,2160,0,0,0,0,12,yes
0.75,22.52,10260,94,0,0,0,57,yes
0.75,22.94,10530,81,0,0,0,58.5,yes
0.7,22.94,10530,75,0,0,0,58.5,yes
0.75,22.52,10350,55,0,0,0,57.5,yes
0.8,11.61,5760,63,0,0,0,32,yes
0.75,22.52,10080,69,0,0,0,56,yes
0.65,3.94,2520,0,0,0,0,14,yes
0.7,22.52,10170,40,0,0,0,56.5,yes
0.7,15.26,6120,40,0,0,0,34,yes
0.7,20.4,10440,50,0,0,0,58,yes
0.65,29.12,10440,26,0,0,0,58,yes
0.7,4.08,1620,0,0,0,0,9,yes
0.75,42.97,10260,40,0,0,0,57,yes
0.5,15.09,720,23,0,0,0,52,yes
0.8,2.9,720,0,0,0,0,4,yes
0.75,3.94,1800,0,0,0,0,10,yes
0.75,3.94,3780,0,0,0,0,21,yes
0.75,4.3,2160,0,0,0,0,12,yes
0.7,4.15,2700,0,0,0,0,15,yes
0.75,3.94,1800,0,0,0,0,10,yes
0.7,3.94,1800,0,0,0,0,10,yes
0.8,22.52,10170,60,0,0,0,56.5,yes
0.8,11.61,5760,50,0,0,0,32,yes
0.75,22.52,10260,69,0,0,0,57,yes
0.75,22.94,10260,55,0,0,0,57,yes
0.7,22.94,10440,60,0,0,0,58,yes
0.75,22.52,10080,55,0,0,0,56,yes
0.7,4.08,1620,0,0,0,0,9,yes
0.75,20.4,10320,56,0,0,0,58,yes
0.7,29.12,10440,40,0,0,0,58,yes
0.7,15.26,6120,40,0,0,0,34,yes
0.65,3.94,1440,0,0,0,0,8,yes
0.6,15.09,360,23,0,0,0,52,yes
0.35,28.08,10260,23,0,0,0,57,yes
0.75,22.52,6840,119,0,0,0,57,yes
0.75,22.52,6840,119,0,0,0,57,yes
0.8,3.94,1440,0,0,0,0,12,yes
0.8,4.3,1440,0,0,0,0,12,yes
0.5,4.15,1440,0,0,0,0,12,yes
0.8,22.52,6720,70,0,0,0,56,yes
0.75,3.94,1440,0,0,0,0,12,yes
0.8,22.52,6780,60,0,0,0,56.5,yes
0.65,3.94,960,0,0,0,0,8,yes
0.7,4.15,1080,0,0,0,0,9,yes
0.5,4.15,960,0,0,0,0,8,yes
0.75,22.94,6960,55,0,0,0,58,yes
0.75,3.94,1200,0,0,0,0,10,yes
0.75,3.94,1200,0,0,0,0,10,yes
0.7,29.12,6960,50,0,0,0,58,yes
0.7,15.26,4080,40,0,0,0,34,yes
0.65,15.09,240,23,0,0,0,52,yes
0.8,30.4,3840,34,0,0,0,32,yes
0.8,2.9,960,0,0,0,0,8,yes
0.5,20.79,6960,30,0,0,0,58,yes
0.5,48.18,6480,23,0,0,0,54,yes
0.8,22.52,6840,90,0,0,0,57,yes
0.8,22.52,6840,113,0,0,0,57,yes
0.35,2.9,1800,0,0,0,0,15,yes
0.75,3.94,1200,0,0,0,0,10,yes
0.8,3.94,1800,0,0,0,0,15,yes
0.8,22.52,6720,60,0,0,0,56,yes
0.75,22.94,6960,81,0,0,0,58,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.6,20.79,6960,88,0,0,0,58,yes
0.8,22.52,6780,50,0,0,0,56.5,yes
0.75,4.08,1080,0,0,0,0,9,yes
0.7,29.12,6960,63,0,0,0,58,yes
0.75,15.26,3600,45,0,0,0,35,yes
0.8,4.3,1440,0,0,0,0,12,yes
0.65,4.15,960,0,0,0,0,8,yes
0.5,20.1,5880,46,0,0,0,54,yes
0.7,38.09,6240,0,0,0,0,52,yes
0.35,18.79,1800,23,0,0,0,32,yes
0.6,3.94,960,0,0,0,0,8,yes
0.6,23.54,6600,0,0,0,0,55,yes
0.5,2.9,960,0,0,0,0,8,yes
0.8,22.52,6840,113,0,0,0,57,yes
0.8,4.3,1200,0,0,0,0,10,yes
0.8,22.52,6840,100,0,0,0,57,yes
0.8,22.52,6900,88,0,0,0,57.5,yes
0.8,22.52,6720,88,0,0,0,56,yes
0.5,2.9,1200,0,0,0,0,10,yes
0.65,4.15,960,0,0,0,0,8,yes
0.6,2.9,960,0,0,0,0,8,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.75,3.94,1200,0,0,0,0,10,yes
0.75,22.94,6960,81,0,0,0,58,yes
0.7,29.12,6960,53,0,0,0,58,yes
0.65,20.79,7080,81,0,0,0,59,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.75,15.26,4200,45,0,0,0,35,yes
0.75,4.08,1080,0,0,0,0,9,yes
0.6,20.1,4320,46,0,0,0,51,yes
0.5,18.79,3960,23,0,0,0,33,yes
0.8,3.94,960,0,0,0,0,8,yes
0.65,23.54,6600,0,0,0,0,55,yes
0.8,22.52,6960,113,0,0,0,58,yes
0.8,22.52,6840,113,0,0,0,57,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.75,3.94,1800,0,0,0,0,15,yes
0.75,3.94,240,0,0,0,0,2,yes
0.75,4.08,1080,0,0,0,0,9,yes
0.7,3.94,240,0,0,0,0,2,yes
0.7,3.94,1200,0,0,0,0,10,yes
0.65,3.94,960,0,0,0,0,8,yes
0.65,3.94,600,0,0,0,0,5,yes
0.6,3.94,1200,0,0,0,0,10,yes
0.8,22.52,6720,93,0,0,0,56,yes
0.8,22.52,6660,88,0,0,0,57.5,yes
0.75,29.12,6840,81,0,0,0,57,yes
0.75,22.94,6960,81,0,0,0,58,yes
0.75,15.26,4200,45,0,0,0,35,yes
0.7,50.89,5880,56,0,0,0,59,yes
0.65,20.1,6480,49,0,0,0,54,yes
0.6,18.79,3960,23,0,0,0,33,yes
0.7,23.54,6720,0,0,0,0,56,yes
0.5,23.54,6480,0,0,0,0,54,yes
0.65,4.15,960,0,0,0,0,8,yes
0.8,22.52,6900,113,0,0,0,57.5,yes
0.8,22.94,3060,113,0,0,0,58.5,yes
0.75,3.94,2280,0,0,0,0,19,yes
0.8,22.52,6840,100,0,0,0,57,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.7,3.94,2160,0,0,0,0,18,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.8,22.52,6720,75,0,0,0,56,yes
0.8,22.52,7020,60,0,0,0,58.5,yes
0.8,4.3,1440,0,0,0,0,12,yes
0.75,29.12,6960,45,0,0,0,58,yes
0.75,15.26,1440,45,0,0,0,35,yes
0.75,4.08,1080,0,0,0,0,9,yes
0.7,20.1,6120,75,0,0,0,54,yes
0.65,18.79,3960,26,0,0,0,33,yes
0.6,24.26,6600,0,0,0,0,55,yes
0.7,24.26,6720,0,0,0,0,56,yes
0.6,2.9,1200,0,0,0,0,10,yes
0.8,22.94,7020,113,0,0,0,58.5,yes
0.75,3.94,960,0,0,0,0,8,yes
0.8,22.52,7020,88,0,0,0,58.5,yes
0.8,22.52,6840,70,0,0,0,57,yes
0.8,22.52,6720,88,0,0,0,56,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.8,4.3,1440,0,0,0,0,12,yes
0.8,15.26,3600,63,0,0,0,35,yes
0.8,22.52,5940,50,0,0,0,56.5,yes
