quarter,day,team,targeted_productivity,over_time,incentive,no_of_workers,actual_productivity
Quarter1,Tuesday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter2,Monday,10,0.65 - 0.80,0 - 5184,720 - 1440,2.0 - 19.4,0.38 - 0.54
Quarter2,Saturday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter4,Tuesday,11,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter2,Wednesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter1,Saturday,2,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter1,Wednesday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter1,Monday,1,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter1,Wednesday,2,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Wednesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Wednesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Tuesday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Tuesday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter4,Thursday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter4,Saturday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Tuesday,7,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Tuesday,8,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Tuesday,2,0.36 - 0.50,5184 - 10368,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Thursday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Wednesday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Tuesday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Sunday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Tuesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter4,Thursday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter4,Saturday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Saturday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Wednesday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Thursday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Sunday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Sunday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Sunday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Monday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Thursday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Sunday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Wednesday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Wednesday,7,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Wednesday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Tuesday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Wednesday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Monday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Thursday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Monday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Tuesday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Wednesday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Thursday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Tuesday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Saturday,11,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter4,Wednesday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Sunday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Saturday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Saturday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Thursday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Wednesday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter3,Thursday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Sunday,4,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter4,Wednesday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Monday,2,0.65 - 0.80,0 - 5184,720 - 1440,2.0 - 19.4,0.54 - 0.69
Quarter3,Thursday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter1,Wednesday,7,0.65 - 0.80,5184 - 10368,0 - 720,19.4 - 36.8,0.54 - 0.69
Quarter2,Tuesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.54 - 0.69
Quarter2,Monday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Tuesday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Tuesday,8,0.21 - 0.36,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Monday,8,0.21 - 0.36,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Thursday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Sunday,11,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Saturday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Monday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Saturday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Tuesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Tuesday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Sunday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Thursday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Wednesday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Tuesday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Tuesday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Sunday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Wednesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Sunday,11,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Thursday,8,0.21 - 0.36,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Tuesday,11,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Wednesday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Sunday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Thursday,1,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Saturday,1,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Thursday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Saturday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Monday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Monday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Wednesday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Sunday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Thursday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Tuesday,3,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Wednesday,3,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Tuesday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Monday,1,0.65 - 0.80,0 - 5184,720 - 1440,2.0 - 19.4,0.69 - 0.84
Quarter2,Monday,4,0.65 - 0.80,0 - 5184,720 - 1440,2.0 - 19.4,0.69 - 0.84
Quarter2,Monday,3,0.65 - 0.80,0 - 5184,720 - 1440,2.0 - 19.4,0.69 - 0.84
Quarter2,Saturday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Tuesday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Saturday,6,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Monday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Saturday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Sunday,11,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Saturday,5,0.21 - 0.36,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Wednesday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Monday,4,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Wednesday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Thursday,3,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Tuesday,3,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Thursday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Thursday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Wednesday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Wednesday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Sunday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter3,Thursday,3,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Wednesday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Tuesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Saturday,7,0.65 - 0.80,5184 - 10368,0 - 720,19.4 - 36.8,0.69 - 0.84
Quarter4,Sunday,2,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.69 - 0.84
Quarter4,Sunday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Wednesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Thursday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Sunday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter2,Monday,9,0.65 - 0.80,0 - 5184,2880 - 3600,2.0 - 19.4,0.69 - 0.84
Quarter1,Thursday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Saturday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter4,Wednesday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.69 - 0.84
Quarter1,Thursday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Tuesday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,5,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Monday,3,0.65 - 0.80,5184 - 10368,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter2,Monday,5,0.50 - 0.65,0 - 5184,2160 - 2880,2.0 - 19.4,0.84 - 1.00
Quarter3,Monday,3,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Thursday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Saturday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Wednesday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Saturday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Monday,3,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Sunday,3,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Wednesday,11,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter3,Sunday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Tuesday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Tuesday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Wednesday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Monday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter3,Monday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Tuesday,3,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Saturday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Wednesday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Wednesday,3,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter4,Tuesday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter3,Tuesday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Monday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Saturday,4,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter4,Wednesday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Monday,12,0.65 - 0.80,0 - 5184,720 - 1440,2.0 - 19.4,0.84 - 1.00
Quarter1,Tuesday,3,0.65 - 0.80,5184 - 10368,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Thursday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Tuesday,5,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Wednesday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter3,Tuesday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Wednesday,8,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter3,Wednesday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Tuesday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Thursday,5,0.65 - 0.80,5184 - 10368,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Saturday,5,0.65 - 0.80,5184 - 10368,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Thursday,3,0.65 - 0.80,5184 - 10368,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Saturday,3,0.65 - 0.80,5184 - 10368,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Wednesday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Thursday,11,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter3,Tuesday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Monday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Wednesday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Saturday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Wednesday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Monday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Sunday,3,0.65 - 0.80,10368 - 15552,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter3,Wednesday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Wednesday,3,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Thursday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Thursday,2,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Sunday,3,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Monday,10,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter3,Monday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Monday,11,0.65 - 0.80,0 - 5184,720 - 1440,2.0 - 19.4,0.84 - 1.00
Quarter2,Monday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Wednesday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Tuesday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Thursday,8,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter3,Wednesday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Wednesday,8,0.21 - 0.36,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Tuesday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Thursday,2,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter2,Tuesday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Wednesday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Wednesday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Saturday,2,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter2,Monday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter2,Thursday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
